ONT,GO Term Name,
,Transcript ID,Gene Symbol,Gene Description,GHsf: GWtFC log2,FHsf: FWtFC log2
BP,response to stimulus GO:0050896defense response to other organism GO:0098542
AT2G24570,WRKY17,WRKY DNA-binding protein 17,2.1,X
AT2G44490,PEN2,Glycosyl hydrolase superfamily protein,1.7,X
AT1G66760,,MATE efflux family protein,1.6,X
AT1G72900,,Toll-Interleukin-Resistance (TIR) domain-containing protein,1.2,X
AT1G64790,ILA,ILITYHIA,1.2,X
AT2G43535,,Scorpion toxin-like knottin superfamily protein,1.1,X
AT5G07010,ST2A,sulfotransferase 2A,1.1,X
AT1G58360,NAT2,amino acid permease 1,1.0,X
AT1G71140,,MATE efflux family protein,1.1,1.7
AT1G19020,,,X,1.1
AT1G50740,,Transmembrane proteins 14C,X,1.1
AT3G49350,,Ypt/Rab-GAP domain of gyp1p superfamily protein,X,2.4
AT3G60420,,Phosphoglycerate mutase family protein,X,1.5
AT4G02380,SAG21,senescence-associated gene 21,X,1.2
AT5G25930,,Protein kinase family protein with LRR domain,X,1.0
AT5G48380,BIR1,BAK1-interacting receptor-like kinase 1,X,1.2
response to water deprivation GO:0009414 (high salinity)
AT3G05880,RCI2A,Low temperature and salt responsive protein family,1.5,X
AT3G11020,DREB2B,DRE/CRT-binding protein 2B,1.1,X
AT1G54410,,dehydrin family protein,1.3,X
response to endoplasmic reticulum stress (ER stress) GO:0034976response to unfolded protein response (UPR) GO:0006986response to misfolded protein GO:0051788response to topologically incorrect protein GO:0035966
At1g72280,AERO1,disulfide bond formation protein,2.9,X
AT5G38900,,Thioredoxin superfamily protein,2.8,X
AT1G77510,PDIL1-2,PDI-like 1-2 disulfide isomerase,2.0,X
AT2G47470,PDIL2-1/UNE5,thioredoxin family protein,1.1,X
AT2G29470,GSTU3,glutathione S-transferase tau 3,1.7,1.8
AT2G29490,GSTU1,glutathione S-transferase TAU 1,1.4,1.5
AT1G17170,GSTU24,glutathione S-transferase TAU 24,1.2,1.4
At2g38470,WRKY33,WRKY-type DNA binding protein,1.2,1.2
At3g49350,---,Ypt/Rab-GAP domain of gyp1p protein,X,2.4
At2g32920,PDIL2-3,PDI-like 2-3 disulfide isomerase,X,1.5
At4g02380,SAG21,senescence-associated gene 21,X,1.2
At1g50740,---,Transmembrane proteins 14C,X,1.1
At3g24050,AtGATA-1,GATA transcription factor 1 (AtGATA-1),X,1.1
At1g19020,---,Expressed protein,X,1.1
endoplasmic reticulum associated degradation (ERAD) GO:0036503
AT1G18260,HRD3A,HCP-like superfamily protein,X,1.2
protein localization GO:0008104establishment of protein localization GO:0045184protein transport GO:0015031vesicle-mediated transport GO:0016192
