No.,Broad designation,Gene name,Gene type,SM(s) produced
1,ATEG_00145,terA,NR-PKS,Terrein131
2,ATEG_00228,,NRPS,
3,ATEG_00282,,HR-PKS,
4,ATEG_00325,,Hybrid,Isoflavipucine167
5,ATEG_00700,atqA,NRPS-like,Asterriquinones168
6,ATEG_00881,,NRPS,
7,ATEG_00913,,NR-PKS,
8,ATEG_01002,,NRPS,
9,ATEG_01052,,NRPS-like,
10,ATEG_01730,,DMAT,
11,ATEG_01769,,TC,
12,ATEG_01894,,HR-PKS,
13,ATEG_02004,apvA,NRPS-like,Aspulvinones168
14,ATEG_02403,,NRPS-like,
15,ATEG_02434,,HR-PKS,
16,ATEG_02815,btyA,NRPS-like,Butyrolactones168
17,ATEG_02831,,NRPS,
18,ATEG_02944,,NRPS,
19,ATEG_03090,,NRPS-like,
20,ATEG_03432,,NR-PKS,
21,ATEG_03446,,HR-PKS
22,ATEG_03470,ataP,NRPS,Acetylaranotin133
23,ATEG_03528,,NRPS,
24,ATEG_03563,atmelA,NRPS-like,"Asp-melanin168,169"
25,ATEG_03576,,NRPS,
26,ATEG_03629,,NR-PKS,
27,ATEG_03630,,NRPS-like
28,ATEG_04218,,DMAT,
29,ATEG_04322,,NRPS,
30,ATEG_04323,,NRPS,
31,ATEG_04416,astA,TC,Aspterric acid134
32,ATEG_04718,,HR-PKS,
33,ATEG_04975,,NRPS-like,
34,ATEG_04999,,DMAT,
35,ATEG_05073,,NRPS,
36,ATEG_05795,,NRPS-like,
37,ATEG_06056,,HR-PKS,
38,ATEG_06111,,DMAT,
39,ATEG_06113,,NRPS,
40,ATEG_06206,,NR-PKS,
41,ATEG_06275,atX,HR-PKS,Terreic acid132
42,ATEG_06680,,HR-PKS,
43,ATEG_06998,,NRPS-like,
44,ATEG_07067,,HR-PKS,
45,ATEG_07279,,HR-PKS,
46,ATEG_07282,,HR-PKS,
47,ATEG_07358,,NRPS,
48,ATEG_07379,,HR-PKS,
49,ATEG_07380,,NRPS-like,
50,ATEG_07488,,NRPS,
51,ATEG_07500,,HR-PKS,
52,ATEG_07659,AteafoG,HR-PKS,Asperfuranone12
53,ATEG_07661,AteafoE,NR-PKS,Asperfuranone12
54,ATEG_07894,,NRPS-like,
55,ATEG_08172,,HR-PKS,
56,ATEG_08204,,TC,
57,ATEG_08427,,NRPS,
58,ATEG_08451,gedC,NR-PKS,"Geodin91,170"
59,ATEG_08662,,NR-PKS,
60,ATEG_08678,,NRPS-like,
61,ATEG_08899,pgnA,NRPS-like,Phenguignardic acid136
62,ATEG_09019,,NRPS,
63,ATEG_09033,,NRPS-like,
64,ATEG_09064,apmB,NRPS,Asperphenamate140
65,ATEG_09068,apmA,NRPS,Asperphenamate140
66,ATEG_09088,,HR-PKS,
67,ATEG_09100,,HR-PKS,
68,ATEG_09142,,NRPS-like,
69,ATEG_09617,ctvA,HR-PKS,Citreoviridin142
70,ATEG_09961,lovB,HR-PKS,Lovastatin171
71,ATEG_09968,lovF,HR-PKS,Lovastatin171
72,ATEG_09980,,DMAT,
73,ATEG_10080,trt4,NR-PKS,Terretonin130
74,ATEG_10305,anaPS,NRPS,"Asterrelenin,epi-aszonalenin A168"
