Functions,GenBank#,"Enzyme, Protein, Other Biomolecules",Naganishia tulchinskyi,Naganishia vishniacii,Papiliotrema laurentii,S. cerevisiae,Reference
IF6SW-B1T,1F7SW-B1,1F1SW-F1,IIF5SW-F1,CBS 10616,IF7SW-B5,IF7SW-F4,S288C
Pigment Biosynthesis,AAY33922,Geranylgeranyl diphosphate synthase,*,**,**,**,**,*,**,**,[39]
ACI43098,Cytochrome P450 reductase,**,**,**,**,**,**,**,**,[40]
AHW57996,Farnesyl pyrophosphate synthase,**,**,**,**,**,**,**,**,[41]
BAA33979,Isopentenyl-diphosphate delta isomerase,**,**,**,**,**,**,**,**,[42]
NP_009555,"Alpha, alpha-trehalase NTH2",**,**,**,**,**,**,**,**,[43]
NP_010284,"Alpha, alpha-trehalase NTH1",**,**,**,**,**,**,**,**,[44]
NP_015351,"Alpha, alpha-trehalase ATH1",,,,,,,,**,[43]
NP_594975,Putative trehalose-phosphate synthase Tps2,**,**,*,**,**,**,**,**,[45]
AAO47570,Phytoene-beta carotene synthase,**,**,**,**,*,*,*,,[46]
Radio-resistance,RAD51,Recombinase RAD51,**,**,**,**,**,**,**,**,[47]
RAD54,DNA repair and recombination protein RAD54-like protein,**,**,**,**,**,**,**,**,[47]
RDH54,DNA-dependent ATPase RDH54,**,**,**,**,**,**,**,**,[47]
CAA54491,RAD9,,,,,,*,*,,[48]
CAA54492,RAD9,,,,,,,*,,[48]
Microgravitytolerance,1HT3_A,"Chain A, Proteinase K",**,**,**,**,**,**,**,**,[49]
1IC6_A,"Chain A, Proteinase K",**,**,**,**,**,**,**,**,[50]
4LHK_A,"Chain A, Flocculin",,,,,,,,**,[51]
4LHK_B,"Chain B, Flocculin",,,,,,,,**,[51]
4LHN_A,"Chain A, Flocculation protein FLO1",,,,,,,,**,[51]
P26306,DNA repair protein rad9,,,,,,*,*,,[52]
P38844,Daughter-specific expression protein 2,,,,,,,,**,[53]
P40077,Daughter-specific expression protein 1,,,,,,,,**,[54]
P48013,DNA repair protein rad9,,,,,,,*,,[48]
Q59Y31,Flocculation protein 1,,,,,,,,**,[55]
