TAIR ID,Protein name,Root,Shoot
L2FC,p-value,L2FC,p-value
"Upregulated in shoot, downregulated in root"
AT1G04800,Glycine-rich protein,−0.34,0.029,0.97,0.04
AT1G13440,Glyceraldehyde-3-ph,−0.51,0.031,0.37,0.02
AT1G18080,Receptor for activated C kinase 1A,−0.23,0.036,0.26,0.03
AT1G21380,TOM1-like protein 3,−0.27,0.022,0.95,0.04
AT1G44446,Chlorophyllide a oxygenase,−0.64,0.02,0.41,0.05
AT1G79530,Glyceraldehyde-3-ph,−0.22,0.017,0.56,0.01
AT2G02050,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7,−0.32,0.018,0.68,0.04
AT2G34420,Chlorophyll a–b binding protein,−0.39,0.04,3.04,0.01
AT2G34430,Chlorophyll a–b binding protein,−0.64,0.048,1.69,0.03
AT2G37040,Phenylalanine ammonia-lyase 1,−0.38,0.01,0.33,0.01
AT2G38040,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,−0.2,0.003,0.24,0.01
AT2G44120,60S ribosomal protein,−0.39,0.011,0.37,0.02
AT2G45180,Disease non-specific lipid transfer protein,−0.35,0.012,1.47,0.03
AT2G47510,Fumarate hydratase 1,−0.27,0.033,0.35,0.01
AT3G13460,Evolutionarily conserved C-terminal region 2,−0.21,0.039,0.48,0.02
AT3G19480,D-3-phosphoglycerate dehydrogenase,−0.27,0.02,0.44,0.02
AT3G25920,50S large ribosomal subunit,−0.34,0.011,0.82,0.01
AT3G50820,Oxygen-evolving enhancer protein 1–2,−0.41,0.014,0.72,0.01
AT3G60770,40S ribosomal subunit,−0.21,0.04,0.66,0.02
AT3G62530,ARM repeat superfamily protein,−0.34,0.004,0.69,0.01
AT4G04020,Probable plastid-lipid-associated protein 1,−0.33,0.012,0.4,0.03
AT4G11420,Eukaryotic translation initiation factor 3 subunit A,−0.24,0.007,0.54,0.04
AT4G29480,Mitochondrial ATP synthase subunit G protein,−0.33,0.015,1.19,0.02
AT4G30720,FAD/NAD(P)-binding oxidoreductase family protein,−0.3,0.009,0.53,0.01
AT4G34110,Polyadenylate-binding protein 2,−0.24,0.022,0.41,0.04
AT5G22880,Histone H2B.10,−0.27,0.017,0.25,0.04
AT5G46580,Pentatricopeptide repeat-containing protein At5g46580,−0.68,0.004,0.56,0.02
AT5G48030,Chaperone protein dnaJ GFA2,−0.55,0.013,0.96,0.03
AT5G48810,Cytochrome B5 isoform D,−0.32,0.021,1.38,0
AT5G53620,RNA polymerase II degradation factor,−0.37,0.037,0.48,0.04
AT5G64110,Peroxidase 70,−0.34,0.01,0.46,0
AT5G64860,4-alpha-glucanotransferase DPE1,−0.29,0.036,0.78,0.03
AT5G65010,Asparagine synthetase [glutamine-hydrolyzing] 2,−0.33,0.012,0.3,0.02
ATCG00790,50S large ribosomal subunit,−0.42,0.01,0.82,0.02
"Downregulated in shoot, upregulated in root"
AT1G09270,Importin subunit alpha-4,0.25,0.01,-0.49,0.02
AT1G11660,Heat shock protein 70 (Hsp 70) family protein,0.2,0.039,-0.21,0.04
AT1G24100,UDP-Glucosyl transferase 74B1,0.66,0.013,-0.24,0.02
AT1G49730,Probable receptor-like protein kinase At1g49730,0.31,0.026,-1.4,0.01
AT1G55020,Linoleate 9S-lipoxygenase 1,0.32,0.017,-0.26,0.03
AT1G65820,Microsomal gluthatione s-transferase,0.31,0.017,-0.27,0.03
AT2G43400,Electron transfer flavoprotein-ubiquinone oxidoreductase,0.58,0.006,-0.6,0.04
AT2G45220,Probable pectinesterase/pectinesterase inhibitor 17,0.87,0.00,-0.28,0.04
AT2G45290,Transketolase-2,0.23,0.045,-0.81,0.03
AT3G22960,Plastidial pyruvate kinase 1,0.29,0.013,-0.45,0.05
AT4G25080,Magnesium protoporphyrin IX methyltransferase,0.24,0.035,-0.78,0.03
AT4G38690,PLC-like phosphodiesterases,0.28,0.017,-0.41,0.02
AT5G01750,Protein LURP-one-related 15,0.44,0.044,-0.29,0.02
AT5G03300,Adenosine kinase 2,0.45,0.035,-0.44,0.04
AT5G23575,Transmembrane CLPTM1 family protein,0.33,0.01,-0.38,0.01
AT5G56000,Heat shock protein 90-4,0.4,0.02,-0.41,0.04
AT5G56590,O-Glycosyl hydrolases family 17 protein,0.31,0.01,-0.36,0.01
AT5G59420,Oxysterol-binding protein-related protein 3C,0.35,0.003,-0.36,0.03
