ArabidopsisGene Identifier,Gene Coding Protein Description
AT3G13380,"Protein binding, protein serine kinase activity"
AT3G61630,"Cotyledon development, embryo development ending in seed dormancy, leaf development, regulation of transcription, DNA-templated"
AT5G61600,"Cell division, defense response to fungus, phloem or xylem histogenesis, positive regulation of transcription, DNA-templated"
AT3G27060,"Directly involved in synthesis of deoxyribonucleotides, DNA repair, DNA replication, multicellular organism development, programmed cell death, regulation of cell cycle"
AT3G51920,"Response to salt stress and water deprivation, calcium ion binding."
AT1G70940,"Positive gravitropism, regulation of root meristem growth, response to light stimulus, root development, root hair elongation, root hair initiation"
AT5G48720,"DNA repair, female meiotic nuclear division, pollen development, response to X-ray"
AT2G31320,"DNA ADP-ribosylation, DNA repair, double-strand break repair, protein ADP-ribosylation, protein poly-ADP-ribosylation, response to abscisic acid, response to oxidative stress"
AT4G21070,"DNA recombination, DNA repair, cellular response to gamma radiation, double-strand break repair via homologous recombination, negative regulation of fatty acid biosynthetic process"
AT2G46610,"mRNA splicing, via spliceosome, RNA binding, protein binding"
AT3G21280,"Protein deubiquitination, ubiquitin-dependent protein catabolic process"
AT1G07500,"Cellular response to DNA damage stimulus, negative regulation of mitotic nuclear division, regulation of DNA endoreduplication"
AT5G66140,Proteasomal ubiquitin-independent protein catabolic process
AT1G27940,ATPase-coupled transmembrane transporter activity and nucleotide binding
AT3G60420,Phosphoglycerate mutase family protein
AT4G28950,"Meiotic DNA repair, pollen development, and responds to X-ray"
AT1G23000,Heavy metal transport/detoxification superfamily protein involved in metal ion transport
AT1G15580,"Regulation of transcription, DNA-templated, response to auxin"
